"";"ano";"sexo_raça";"liquido"
"1";"1999";"Homem Branco";6527,2
"2";"1999";"Homem Negro";4768,7
"3";"1999";"Mulher Branca";5261,6
"4";"1999";"Mulher Negra";4010
"5";"2000";"Homem Branco";5690,3
"6";"2000";"Homem Negro";4151,7
"7";"2000";"Mulher Branca";4887,3
"8";"2000";"Mulher Negra";3782,5
"9";"2001";"Homem Branco";5833,8
"10";"2001";"Homem Negro";4107,2
"11";"2001";"Mulher Branca";4997,5
"12";"2001";"Mulher Negra";3734,5
"13";"2002";"Homem Branco";6407
"14";"2002";"Homem Negro";4489,6
"15";"2002";"Mulher Branca";5429,7
"16";"2002";"Mulher Negra";4069,7
"17";"2003";"Homem Branco";6133,3
"18";"2003";"Homem Negro";4297,4
"19";"2003";"Mulher Branca";5171,9
"20";"2003";"Mulher Negra";3856,7
"21";"2004";"Homem Branco";5902,9
"22";"2004";"Homem Negro";4372,2
"23";"2004";"Mulher Branca";4963,7
"24";"2004";"Mulher Negra";3862
"25";"2005";"Homem Branco";6314,4
"26";"2005";"Homem Negro";4558
"27";"2005";"Mulher Branca";5298,2
"28";"2005";"Mulher Negra";4036,4
"29";"2006";"Homem Branco";6227,3
"30";"2006";"Homem Negro";4368,9
"31";"2006";"Mulher Branca";5269,9
"32";"2006";"Mulher Negra";3958,6
"33";"2007";"Homem Branco";7049
"34";"2007";"Homem Negro";4815
"35";"2007";"Mulher Branca";5822,3
"36";"2007";"Mulher Negra";4311,5
"37";"2008";"Homem Branco";7220,2
"38";"2008";"Homem Negro";4914,5
"39";"2008";"Mulher Branca";5946,1
"40";"2008";"Mulher Negra";4352,3
"41";"2009";"Homem Branco";8347,7
"42";"2009";"Homem Negro";5653,5
"43";"2009";"Mulher Branca";7049,5
"44";"2009";"Mulher Negra";5127,9
"45";"2010";"Homem Branco";9115,6
"46";"2010";"Homem Negro";6316,7
"47";"2010";"Mulher Branca";8005,6
"48";"2010";"Mulher Negra";5975,1
"49";"2011";"Homem Branco";9200,9
"50";"2011";"Homem Negro";6330,2
"51";"2011";"Mulher Branca";8153,7
"52";"2011";"Mulher Negra";6083,6
"53";"2012";"Homem Branco";8757,8
"54";"2012";"Homem Negro";6110,5
"55";"2012";"Mulher Branca";7843,2
"56";"2012";"Mulher Negra";5905,8
"57";"2013";"Homem Branco";8832,8
"58";"2013";"Homem Negro";6195,6
"59";"2013";"Mulher Branca";7964,9
"60";"2013";"Mulher Negra";6045,5
"61";"2014";"Homem Branco";9279,1
"62";"2014";"Homem Negro";6532,7
"63";"2014";"Mulher Branca";8321,2
"64";"2014";"Mulher Negra";6335,1
"65";"2015";"Homem Branco";8996,8
"66";"2015";"Homem Negro";6304,3
"67";"2015";"Mulher Branca";7953,9
"68";"2015";"Mulher Negra";6047,9
"69";"2016";"Homem Branco";8506,6
"70";"2016";"Homem Negro";6110,6
"71";"2016";"Mulher Branca";7647,4
"72";"2016";"Mulher Negra";5875,2
"73";"2017";"Homem Branco";9186,3
"74";"2017";"Homem Negro";6591,9
"75";"2017";"Mulher Branca";8144,7
"76";"2017";"Mulher Negra";6239,3
"77";"2018";"Homem Branco";8893,2
"78";"2018";"Homem Negro";6403,8
"79";"2018";"Mulher Branca";7952,3
"80";"2018";"Mulher Negra";6048,9
"81";"2019";"Homem Branco";9044,7
"82";"2019";"Homem Negro";6454,7
"83";"2019";"Mulher Branca";7977,5
"84";"2019";"Mulher Negra";5996,2
"85";"2020";"Homem Branco";8774,2
"86";"2020";"Homem Negro";6272,2
"87";"2020";"Mulher Branca";7753,8
"88";"2020";"Mulher Negra";5815,5
